name,band,ra,dec,raerr,decerr,flux,type,activity type
HPPSC070A_J074116.2-235720,blue,115.317889,-23.955457,0.000189,0.000172,248.6,b'G',
HPPSC070A_J085950.9-003756,blue,134.962209,-0.632188,0.000057,0.000057,52.549,b'G',
HPPSC070A_J122636.2+035752,blue,186.650909,3.9644,0.000006,0.000006,1628.363,b'G',
HPPSC070A_J164332.6-202433,blue,250.885898,-20.409092,0.000471,0.000442,155.15,b'G',
HPPSC070A_J053738.2-085338,blue,84.409169,-8.893833,0.000501,0.000495,116.105,b'G',
HPPSC070A_J092323.7+171119,blue,140.848876,17.188561,0.000231,0.000221,278.996,b'G',
HPPSC070A_J134400.1+254117,blue,206.000547,25.687953,0.000248,0.000224,138.933,b'G',
HPPSC070A_J093456.9+702958,blue,143.737083,70.49933,0.000281,0.000094,65.781,b'G',
HPPSC070A_J000303.5-001429,blue,0.764691,-0.241474,0.000289,0.000288,17.217,b'G',
HPPSC070A_J044652.1+165658,blue,71.717408,16.949344,0.000127,0.000121,113.605,b'G',
HPPSC070A_J211805.4-752154,blue,319.522501,-75.365014,0.000778,0.000197,44.594,b'G',
HPPSC070A_J125948.2+275525,blue,194.95109,27.92348,0.000313,0.000276,14.404,b'G',
HPPSC070A_J100839.4+514015,blue,152.164531,51.670849,0.000157,0.000097,39.942,b'G',
HPPSC070A_J054640.5-361242,blue,86.669104,-36.211571,0.000304,0.000246,11.275,b'G',
HPPSC070A_J142945.9-000908,blue,217.441594,-0.152317,0.000019,0.000019,857.785,b'G',
HPPSC070A_J220842.9+283456,blue,332.179127,28.582194,0.000124,0.000109,26.17,b'G',
HPPSC070A_J095251.7+134259,blue,148.215804,13.716417,0.000037,0.000036,41.608,b'G',
HPPSC070A_J053612.6+315850,blue,84.052759,31.980562,0.000104,0.000088,504.913,b'G',
HPPSC070A_J043704.4+294014,blue,69.26839,29.67058,0.000178,0.000155,27.15,b'G',
HPPSC070A_J110743.5-760946,blue,166.93146,-76.162901,0.001082,0.000259,208.766,b'G',
HPPSC070A_J130136.8+275602,blue,195.403631,27.934012,0.000094,0.000083,68.72,b'G',
HPPSC070A_J125931.4+271012,blue,194.881083,27.170118,0.000328,0.000292,23.054,b'G',
HPPSC070A_J043646.9-615458,blue,69.195439,-61.916167,0.000332,0.000157,34.141,b'G',
HPPSC070A_J083433.5+172044,blue,128.639734,17.345576,0.000007,0.000006,823.357,b'G',
HPPSC070A_J092159.3+450914,blue,140.497189,45.153801,0.000015,0.00001,264.809,b'G',
HPPSC070A_J081453.9-353302,blue,123.724685,-35.550661,0.000226,0.000184,263.876,b'G',
HPPSC070A_J113322.9+242819,blue,173.345513,24.471916,0.000205,0.000186,12.919,b'G',
HPPSC070A_J121323.6+144727,blue,183.34865,14.790824,0.00014,0.000135,43.868,b'G',
HPPSC070A_J172546.3+572210,blue,261.443103,57.369412,0.000264,0.000143,21.237,b'G',
HPPSC070A_J052406.9-121009,blue,81.028743,-12.169183,0.000022,0.000022,346.946,b'G',
HPPSC070A_J144816.0+173306,blue,222.066786,17.551794,0.000005,0.000005,1177.397,b'G',
HPPSC070A_J135636.7-193143,blue,209.152939,-19.528677,0.000047,0.000044,270.49,b'G',
HPPSC070A_J054058.3+285800,blue,85.243309,28.96656,0.000362,0.000317,143.153,b'G',
HPPSC070A_J023819.6-521133,blue,39.582046,-52.192385,0.000098,0.00006,100.699,b'G',
HPPSC070A_J153231.8+575258,blue,233.132604,57.882709,0.000012,0.000007,1149.655,b'G',
HPPSC070A_J005650.8-515200,blue,14.211793,-51.866764,0.000472,0.000292,11.201,b'G',
HPPSC070A_J114044.4+222647,blue,175.185235,22.446287,0.000005,0.000005,3358.978,b'G',
HPPSC070A_J095720.8+684741,blue,149.336895,68.794612,0.000624,0.000226,44.078,b'G',
HPPSC070A_J034407.8+312333,blue,56.032652,31.39249,0.00042,0.000359,202.593,b'G',
HPPSC070A_J105143.7+335927,blue,162.932477,33.990893,0.000111,0.000092,34.081,b'G',
HPPSC070A_J132651.1-112245,blue,201.713254,-11.37905,0.000198,0.000194,61.565,b'G',
HPPSC070A_J125703.4+274646,blue,194.26424,27.779352,0.000127,0.000112,92.472,b'G',
HPPSC070A_J125726.8+264138,blue,194.361794,26.693804,0.000249,0.000222,18.88,b'G',
HPPSC070A_J032234.6-372307,blue,50.644256,-37.38518,0.000228,0.000181,19.183,b'G',
HPPSC070A_J193804.4-510949,blue,294.518467,-51.163638,0.000151,0.000095,80.083,b'G',
HPPSC070A_J043559.7-620444,blue,68.998899,-62.078959,0.000624,0.000292,26.235,b'G',
HPPSC070A_J055512.0+232259,blue,88.800309,23.383176,0.000177,0.000162,316.991,b'G',
HPPSC070A_J074448.1+392543,blue,116.200555,39.428611,0.000086,0.000067,22.712,b'G',
HPPSC070A_J060734.0-054158,blue,91.892033,-5.699542,0.000027,0.000027,1702.915,b'G',
HPPSC070A_J202012.0+403939,blue,305.050362,40.660965,0.000059,0.000045,11582.875,b'G',
HPPSC070A_J035244.6-454733,blue,58.186,-45.792467,0.000255,0.000178,23.057,b'G',
HPPSC070A_J060747.0+203940,blue,91.945904,20.660973,0.000037,0.000034,27061.558,b'G',
HPPSC070A_J124612.8-022347,blue,191.553707,-2.396259,0.000162,0.000162,29.266,b'G',
HPPSC070A_J124249.5-020058,blue,190.706542,-2.016081,0.000105,0.000105,96.363,b'G',
HPPSC070A_J013400.1-260440,blue,23.500582,-26.077705,0.000206,0.000185,43.364,b'G',
HPPSC070A_J102531.2+514036,blue,156.380305,51.676676,0.00002,0.000012,230.817,b'G',
HPPSC070A_J045156.3+450315,blue,72.9849,45.054187,0.000133,0.000094,784.107,b'G',
HPPSC070A_J054556.4-083258,blue,86.485156,-8.549508,0.000111,0.00011,559.136,b'G',
HPPSC070A_J143417.0+020744,blue,218.571098,2.128765,0.000017,0.000017,71.018,b'G',
HPPSC070A_J013415.6+302745,blue,23.564999,30.462497,0.00005,0.000043,108.191,b'G',
HPPSC070A_J045403.0+425352,blue,73.512694,42.897858,0.000301,0.000221,254.304,b'G',
HPPSC070A_J212340.5-403853,blue,320.919014,-40.647966,0.000221,0.000168,23.215,b'G',
HPPSC070A_J060507.9-071443,blue,91.283268,-7.245156,0.000025,0.000025,9797.11,b'G',
HPPSC070A_J223449.8-254037,blue,338.707573,-25.676819,0.000067,0.00006,114.753,b'G',
HPPSC070A_J024846.0+602048,blue,42.191719,60.346615,0.000209,0.000103,1145.343,b'G',
HPPSC070A_J055042.5-010501,blue,87.677387,-1.083526,0.000326,0.000326,253.244,b'G',
HPPSC070A_J090403.9-450220,blue,136.016514,-45.038768,0.000205,0.000145,103.583,b'G',
HPPSC070A_J012719.4-322505,blue,21.830874,-32.418136,0.000174,0.000147,28.503,b'G',
HPPSC070A_J154519.9+484748,blue,236.333068,48.796699,0.000332,0.000219,25.227,b'G',
HPPSC070A_J051128.8+404526,blue,77.870125,40.757198,0.000176,0.000133,400.503,b'G',
HPPSC070A_J065008.8+605045,blue,102.536692,60.845876,0.000006,0.000003,6822.39,b'G',
HPPSC070A_J014747.5-092351,blue,26.948115,-9.397533,0.000096,0.000095,42.21,b'G',
HPPSC070A_J044958.6+453909,blue,72.494164,45.652407,0.000632,0.000442,121.183,b'G',
HPPSC070A_J054349.3-020722,blue,85.955654,-2.122875,0.000212,0.000212,220.097,b'G',
HPPSC070A_J113306.6+500719,blue,173.277642,50.121889,0.000177,0.000114,10.974,b'G',
HPPSC070A_J060430.4+232338,blue,91.126981,23.393983,0.00007,0.000064,825.203,b'G',
HPPSC070A_J125902.5+281900,blue,194.760459,28.316786,0.000267,0.000235,25.816,b'G',
HPPSC070A_J043633.2-620524,blue,69.138425,-62.090003,0.000135,0.000063,41.976,b'G',
HPPSC070A_J235343.3+005344,blue,358.430589,0.895518,0.000304,0.000304,13.207,b'G',
HPPSC070A_J002025.7+004935,blue,5.107366,0.826253,0.000009,0.000009,808.54,b'G',
HPPSC070A_J113758.5+472803,blue,174.493946,47.467483,0.000431,0.000291,23.804,b'G',
HPPSC070A_J122244.0+064405,blue,185.683325,6.734734,0.00025,0.000248,29.769,b'G',
HPPSC070A_J061713.1+782511,blue,94.304863,78.419767,0.000265,0.000053,102.791,b'G',
HPPSC070A_J004113.6-095232,blue,10.306969,-9.875687,0.000121,0.000119,35.565,b'G',
HPPSC070A_J122931.3+112235,blue,187.380583,11.376253,0.000309,0.000303,19.976,b'G',
HPPSC070A_J094255.2+465842,blue,145.730374,46.978249,0.000169,0.000115,9.003,b'G',
HPPSC070A_J001014.2+323901,blue,2.559365,32.65039,0.000216,0.000182,31.949,b'G',
HPPSC070A_J141032.7-004827,blue,212.636555,-0.807398,0.000094,0.000094,35.343,b'G',
HPPSC070A_J160741.3-383614,blue,241.92241,-38.603831,0.00027,0.000211,292.858,b'G',
HPPSC070A_J025401.6+145814,blue,43.506843,14.970662,0.000005,0.000005,8935.218,b'G',
HPPSC070A_J021106.3-003920,blue,32.776273,-0.655449,0.000008,0.000008,1133.661,b'G',
HPPSC070A_J061000.8-065442,blue,92.503462,-6.911553,0.000071,0.000071,189.93,b'G',
HPPSC070A_J105115.1-170030,blue,162.812999,-17.008235,0.000022,0.000021,446.857,b'G',
HPPSC070A_J121546.6+135823,blue,183.944429,13.973147,0.000275,0.000267,50.757,b'G',
HPPSC070A_J113249.2+101747,blue,173.205389,10.296299,0.000072,0.00007,95.691,b'G',
HPPSC070A_J043108.0+503659,blue,67.78368,50.616496,0.00051,0.000324,158.584,b'G',
HPPSC070A_J190245.0-352424,blue,285.687801,-35.406734,0.000453,0.000369,137.384,b'G',
HPPSC070A_J065549.5+400001,blue,103.956304,40.000276,0.000031,0.000024,379.6,b'G',
HPPSC070A_J130142.9+274452,blue,195.428991,27.747751,0.000225,0.0002,46.376,b'G',
HPPSC070A_J000126.0+130646,blue,0.358668,13.112658,0.000046,0.000045,374.763,b'G',
HPPSC070A_J114827.5+124339,blue,177.114899,12.727462,0.000008,0.000008,3977.015,b'G',
HPPSC070A_J130259.4+051549,blue,195.747504,5.263507,0.000123,0.000122,17.339,b'G',
HPPSC070A_J122938.9+112448,blue,187.41238,11.413247,0.000035,0.000035,67.144,b'G',
HPPSC070A_J124608.7-022552,blue,191.536453,-2.431246,0.000021,0.000021,279.505,b'G',
HPPSC070A_J123605.8+275030,blue,189.024505,27.841528,0.000148,0.000131,25.201,b'G',
HPPSC070A_J081009.2+422849,blue,122.538689,42.480351,0.000283,0.000208,16.468,b'G',
HPPSC070A_J202615.1+071624,blue,306.562953,7.273413,0.0001,0.000099,33.976,b'G',
HPPSC070A_J213202.9-334200,blue,323.012446,-33.699991,0.0001,0.000083,123.96,b'G',
HPPSC070A_J065501.9-240049,blue,103.758072,-24.013485,0.000049,0.000044,153.731,b'G',
HPPSC070A_J160806.4+252909,blue,242.026795,25.485741,0.000099,0.00009,100.042,b'G',
HPPSC070A_J013345.7+642059,blue,23.440457,64.349838,0.000834,0.000361,165.54,b'G',
HPPSC070A_J024617.5+130545,blue,41.572915,13.095732,0.000005,0.000005,8779.77,b'G',
HPPSC070A_J013853.0-102712,blue,24.720846,-10.45336,0.000005,0.000004,7482.553,b'G',
HPPSC070A_J055303.7+273956,blue,88.2657,27.665426,0.000361,0.00032,104.621,b'G',
HPPSC070A_J125834.2+271926,blue,194.642599,27.323885,0.000268,0.000238,20.792,b'G',
HPPSC070A_J163911.2-230124,blue,249.796692,-23.023328,0.000254,0.000233,234.562,b'G',
HPPSC070A_J225430.1+632546,blue,343.625587,63.429573,0.00018,0.000081,198.831,b'G',
HPPSC070A_J054614.2-000527,blue,86.559178,-0.090778,0.000008,0.000008,809.241,b'G',
HPPSC070A_J224943.1+612710,blue,342.429863,61.452681,0.000451,0.000216,118.542,b'G',
HPPSC070A_J221717.3+141207,blue,334.32242,14.201916,0.000166,0.000161,29.85,b'G',
HPPSC070A_J181338.6-574358,blue,273.411214,-57.732692,0.000009,0.000005,2617.779,b'G',
HPPSC070A_J074144.3+211057,blue,115.434845,21.18243,0.000004,0.000003,387.935,b'G',
HPPSC070A_J043709.6-615535,blue,69.290396,-61.926448,0.000183,0.000086,74.085,b'G',
HPPSC070A_J100243.1+684212,blue,150.679756,68.70346,0.000308,0.000112,8.885,b'G',
HPPSC070A_J124218.1-782037,blue,190.575665,-78.34355,0.001606,0.000324,117.807,b'G',
HPPSC070A_J052927.0+330109,blue,82.362865,33.01915,0.000344,0.000288,178.961,b'G',
HPPSC070A_J112723.4-291528,blue,171.847622,-29.257816,0.000023,0.00002,477.069,b'G',
HPPSC070A_J033830.9+315052,blue,54.628751,31.847837,0.000585,0.000497,105.444,b'G',
HPPSC070A_J115653.3-222843,blue,179.222142,-22.478741,0.000194,0.000179,23.883,b'G',
HPPSC070A_J105855.7+063038,blue,164.73207,6.510642,0.000105,0.000104,22.264,b'G',
HPPSC070A_J120613.2-794758,blue,181.555143,-79.799481,0.001144,0.000203,252.54,b'G',
HPPSC070A_J194240.6-101926,blue,295.669199,-10.323821,0.000014,0.000014,565.328,b'G',
HPPSC070A_J130309.8+051018,blue,195.791186,5.171774,0.000175,0.000175,21.982,b'G',
HPPSC070A_J043820.8+250309,blue,69.586856,25.052466,0.000527,0.000477,118.211,b'G',
HPPSC070A_J105024.7-775941,blue,162.603021,-77.994829,0.001505,0.000313,183.488,b'G',
HPPSC070A_J011844.5-001502,blue,19.685644,-0.250492,0.000092,0.000092,143.091,b'G',
HPPSC070A_J124135.3+324217,blue,190.397471,32.704781,0.000246,0.000207,48.987,b'G',
HPPSC070A_J101111.6+515419,blue,152.798592,51.905154,0.00048,0.000296,45.951,b'G',
HPPSC070A_J125928.2+270909,blue,194.867867,27.152495,0.000139,0.000123,37.212,b'G',
HPPSC070A_J003916.3+005428,blue,9.818086,0.907907,0.000118,0.000118,58.001,b'G',
HPPSC070A_J133553.7-341745,blue,203.974109,-34.295823,0.000011,0.000009,1177.266,b'G',
HPPSC070A_J112545.0+144035,blue,171.437626,14.67643,0.000005,0.000005,5460.934,b'G',
HPPSC070A_J133521.0+134107,blue,203.837807,13.685202,0.000079,0.000076,34.325,b'G',
HPPSC070A_J012737.8-323301,blue,21.90765,-32.550382,0.000151,0.000128,48.55,b'G',
HPPSC070A_J224712.1+594546,blue,341.800551,59.762871,0.000301,0.000152,364.32,b'G',
HPPSC070A_J190847.9-375629,blue,287.199961,-37.941515,0.000178,0.000141,368.844,b'G',
HPPSC070A_J021918.1+612940,blue,34.825425,61.494411,0.000055,0.000026,1434.107,b'G',
HPPSC070A_J080054.9-334846,blue,120.229026,-33.812742,0.000125,0.000104,509.954,b'G',
HPPSC070A_J172652.1-595508,blue,261.717084,-59.918968,0.000428,0.000215,74.149,b'G',
HPPSC070A_J011639.3+645245,blue,19.163815,64.879088,0.000303,0.000129,554.963,b'G',
HPPSC070A_J094808.3+130249,blue,147.034754,13.047076,0.000122,0.000119,54.137,b'G',
HPPSC070A_J033539.9+551850,blue,53.916305,55.314014,0.000545,0.00031,202.946,b'G',
HPPSC070A_J042258.6+493245,blue,65.744555,49.545882,0.000276,0.000179,294.659,b'G',
HPPSC070A_J163815.4-211941,blue,249.564312,-21.328139,0.000471,0.000439,187.837,b'G',
HPPSC070A_J013527.4+304207,blue,23.864428,30.702072,0.000281,0.000242,16.947,b'G',
HPPSC070A_J232758.7+084658,blue,351.994897,8.782666,0.000009,0.000009,705.606,b'G',
HPPSC070A_J145700.3+243626,blue,224.251374,24.607184,0.000016,0.000014,720.77,b'G',
HPPSC070A_J040311.2+255243,blue,60.79672,25.878546,0.000039,0.000035,172.528,b'G',
HPPSC070A_J033122.9-050831,blue,52.845806,-5.141841,0.000156,0.000155,74.836,b'G',
HPPSC070A_J082701.3+214225,blue,126.755478,21.707013,0.000019,0.000018,108.636,b'G',
HPPSC070A_J140442.7+542616,blue,211.17817,54.437796,0.000182,0.000106,30.783,b'G',
HPPSC070A_J095558.4+690858,blue,148.99363,69.149387,0.00012,0.000043,221.772,b'G',
HPPSC070A_J213833.5+320506,blue,324.63965,32.085095,0.000028,0.000024,416.858,b'G',
HPPSC070A_J130237.0+275237,blue,195.654386,27.876903,0.000205,0.000181,33.195,b'G',
HPPSC070A_J210223.7-281029,blue,315.599118,-28.174787,0.000019,0.000017,493.846,b'G',
HPPSC070A_J095458.1+691142,blue,148.742421,69.194892,0.000208,0.000074,78.3,b'G',
HPPSC070A_J135808.4+121223,blue,209.535339,12.206527,0.000182,0.000178,26.043,b'G',
HPPSC070A_J160919.3+240529,blue,242.330477,24.091421,0.000168,0.000154,61.378,b'G',
HPPSC070A_J124519.4+452240,blue,191.331061,45.377733,0.000263,0.000185,25.157,b'G',
HPPSC070A_J185941.5-371156,blue,284.923229,-37.198887,0.000174,0.000138,422.663,b'G',
HPPSC070A_J095010.8+280048,blue,147.545017,28.01344,0.000084,0.000075,202.002,b'G',
HPPSC070A_J065041.4-052615,blue,102.672647,-5.437519,0.000196,0.000195,250.713,b'G',
HPPSC070A_J153538.6-331403,blue,233.911071,-33.234153,0.000176,0.000147,422.429,b'G',
HPPSC070A_J002614.1+645433,blue,6.559009,64.909156,0.000108,0.000046,2920.874,b'G',
HPPSC070A_J032121.7+581705,blue,50.340677,58.284723,0.00077,0.000405,113.575,b'G',
HPPSC070A_J042727.3+350140,blue,66.863733,35.027696,0.000607,0.000497,143.098,b'G',
HPPSC070A_J054643.0+005757,blue,86.679195,0.965705,0.000307,0.000307,193.03,b'G',
HPPSC070A_J081545.6-382746,blue,123.940311,-38.462726,0.000469,0.000367,156.78,b'G',
HPPSC070A_J163849.5-215530,blue,249.706348,-21.925035,0.000178,0.000165,221.852,b'G',
HPPSC070A_J230008.1+021208,blue,345.034037,2.202278,0.000095,0.000095,30.624,b'G',
HPPSC070A_J231823.7-422212,blue,349.598866,-42.370135,0.000014,0.00001,54145.216,b'G',
HPPSC070A_J163452.5-603708,blue,248.718814,-60.618935,0.000009,0.000005,6198.928,b'G',
HPPSC070A_J104350.6+064548,blue,160.960903,6.763246,0.00001,0.00001,971.245,b'G',
HPPSC070A_J121036.8+010326,blue,182.653391,1.057191,0.000132,0.000132,31.883,b'G',
HPPSC070A_J100157.9+554046,blue,150.491315,55.679531,0.000012,0.000007,37532.588,b'G',
HPPSC070A_J140340.6+543402,blue,210.919342,54.567099,0.000395,0.000229,5.703,b'G',
HPPSC070A_J104947.3+330227,blue,162.447293,33.040868,0.000329,0.000276,29.581,b'G',
