name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift
HPPSC070A_J081058.4+760244,blue,122.743429,76.045568,121.228,79.58,40.265,,,,9.211,8.234,5.928,3.964,12.976,12.088,10.917,0.1
HPPSC070A_J232721.9+152437,blue,351.84158,15.410265,143.894,,222.055,,,,10.972,10.358,7.648,5.185,13.207,12.464,11.821,0.045717
HPPSC070A_J144207.4+352623,blue,220.531018,35.439843,741.565,860.95,614.747,258.4,111.4,,9.857,8.981,6.477,4.088,12.936,12.001,11.06,0.079055
HPPSC070A_J062345.8-605844,blue,95.940841,-60.978908,60.527,,,,,,11.575,11.105,8.375,5.877,13.894,13.212,12.844,0.040521
HPPSC070A_J084444.9+765310,blue,131.18744,76.886172,155.906,176.782,192.204,118.6,53.2,,11.556,10.649,7.698,5.114,15.056,14.259,13.158,0.131
HPPSC070A_J111857.7+580324,blue,169.740742,58.05661,48.932,68.766,70.629,50.7,,,12.178,11.436,8.318,6.223,14.3,13.715,13.167,0.027872
HPPSC070A_J132224.3-164341,blue,200.601363,-16.728152,4907.669,4238.876,2981.586,1073.5,393,,9.383,7.952,4.054,1.406,12.341,11.568,10.877,0.016541
HPPSC070A_J023437.9-084716,blue,38.658177,-8.787716,1196.967,,1450.283,,,,9.757,8.806,5.636,3.081,12.735,11.8,10.989,0.043143
HPPSC070A_J134356.7+253848,blue,205.986488,25.646544,61.166,58.378,74.909,48.3,,,11.633,10.762,8.034,5.629,14.768,13.902,13.094,0.086556
HPPSC070A_J225932.9+245506,blue,344.887348,24.918389,381.238,,239.153,111.4,,,10.702,9.729,6.707,4.288,13.928,13.087,12.334,0.0345
HPPSC070A_J092547.4+692753,blue,141.447583,69.464631,94.175,,,,,,10.614,9.672,7.088,5.039,14.24,13.126,12.353,0.039
HPPSC070A_J150556.5+034226,blue,226.48558,3.707295,305.597,,600.712,357.2,190.6,,10.525,9.752,6.602,4.035,13.563,12.678,12.07,0.036135
HPPSC070A_J140516.2+255534,blue,211.317597,25.926243,250.756,248.232,145.179,68,,,10.51,9.455,6.822,4.652,14.41,13.379,12.168,0.164
HPPSC070A_J160305.3-401825,blue,240.772346,-40.307044,1038.215,993.193,878.49,554.2,311.4,125.8,7.592,6.864,4.492,2.345,9.728,8.958,8.496,0.027095
HPPSC070A_J210909.9-094015,blue,317.291387,-9.670861,307.344,,252.295,121.1,,,9.789,8.784,5.905,3.686,12.866,11.949,10.924,0.026515
HPPSC070A_J123136.9-475801,blue,187.904137,-47.967062,1254.798,,1739.59,746,315.7,107.2,10.476,9.655,6.269,3.785,13.117,12.334,11.99,0.027896
HPPSC070A_J151503.1+420300,blue,228.763312,42.049985,839.284,,,1731,,,9.93,9.652,6.602,4.02,12.473,11.456,10.954,0.008546
HPPSC070A_J220907.7-274833,blue,332.282124,-27.809288,623.769,,,,,370.3,9.901,9.252,6.292,3.73,12.952,12.091,11.3,0.023128
