name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift
HPPSC070A_J013641.1+163628,blue,24.171521,16.607872,373.925,,552.324,,,,13.068,12.733,8.382,5.951,15.169,14.529,13.351,0.080135
HPPSC070A_J033214.9-274433,blue,53.062334,-27.742629,2.932,5.194,,,,,17.742,17.719,13.309,9.186,,,,0.7353
HPPSC070A_J141644.4+190543,blue,214.185303,19.095384,65.47,74.532,102.728,40.7,,,14.086,13.096,10.034,7.435,,,,0.3653
HPPSC070A_J124431.2-020159,blue,191.130118,-2.032928,102.958,,213.959,,,,14.064,13.779,9.579,7.643,16.287,15.517,15.173,0.071316
HPPSC070A_J094257.8+465945,blue,145.74087,46.995799,19.485,48.036,75.31,41.1,,,15.964,16.034,11.889,8.892,,,,0.4125
HPPSC070A_J093813.4+542827,blue,144.556162,54.474048,121.989,116.184,101.715,,,,14.813,14.139,9.955,6.434,16.744,16.199,15.235,0.102119
HPPSC070A_J115311.6-390749,blue,178.298668,-39.13024,39967.598,45027.652,32271.361,12692.8,4892,1555.3,9.358,9.01,4.642,1.833,12.308,11.336,10.494,0.010781
HPPSC070A_J181133.4+013142,blue,272.889169,1.528317,2122.2,2639.649,2284.49,803.6,416.2,,11.652,11.393,7.444,4.605,14.728,13.756,13.153,0.029217
HPPSC070A_J092002.3+005040,blue,140.009604,0.844499,64.789,87.494,,,,,14.286,14.078,10.411,8.238,15.954,15.135,14.746,0.058519
HPPSC070A_J104907.1+565715,blue,162.279834,56.954254,182.33,236.462,218.299,113.4,41,,13.656,13.357,9.169,7.423,15.64,15.042,14.523,0.071665
HPPSC070A_J131534.9+620731,blue,198.89565,62.125232,10575.51,9454.243,5505.089,1631,555.8,,10.841,10.061,5.242,1.934,13.512,12.628,11.864,0.031065
HPPSC070A_J042340.7+040802,blue,65.919694,4.133923,508.857,,501.844,215.1,104.1,,10.911,9.66,6.582,3.971,15.407,14.191,12.87,0.045
HPPSC070A_J162820.6+324838,blue,247.085961,32.810429,1284.666,,2107.035,,,,11.747,11.429,7.296,4.939,14.625,13.833,13.213,0.034
HPPSC070A_J133439.5-232647,blue,203.664749,-23.446298,804.632,,1370.248,574.2,,,11.052,10.324,6.341,3.59,13.591,12.851,12.211,0.034307
HPPSC070A_J125745.0+273435,blue,194.437729,27.57634,35.121,43.699,41.454,,,,14.651,14.405,11.713,8.487,16.424,15.642,15.334,0.1192
HPPSC070A_J093635.1+042423,blue,144.146521,4.406375,38.933,,78.8,,,,13.724,13.234,10.588,8.652,16.226,15.163,14.511,0.127908
HPPSC070A_J125522.9+271505,blue,193.84548,27.251353,32.384,29.016,,,,,17.099,15.782,11.377,8.138,,,,0.05106
HPPSC070A_J121035.3+010144,blue,182.647315,1.028846,161.728,260.937,250.588,124.3,45.7,,13.289,13.126,9.389,6.893,15.414,14.869,14.404,0.020173
HPPSC070A_J102326.9+195355,blue,155.862462,19.898584,342.249,,578.911,195.3,100,,9.707,9.738,7.968,6.307,11.777,11.204,10.702,0.004386
HPPSC070A_J135326.6+401811,blue,208.361169,40.302948,192.099,,361.399,128.3,,,9.519,9.557,8.513,7.294,11.469,10.904,10.629,0.008603
HPPSC070A_J013633.2+164501,blue,24.138606,16.750356,30.293,,60.596,,,,15.018,14.507,11.226,8.861,,,,0.334216
HPPSC070A_J220603.1+293001,blue,331.51321,29.500202,25.382,38.023,37.982,,,,14.815,14.32,11.176,8.701,16.366,16.007,15.21,0.202
HPPSC070A_J133733.0-295100,blue,204.387786,-29.850118,182.012,,561.684,345.5,193,,11.84,11.779,8.983,6.976,14.063,13.32,12.905,0.046495
HPPSC070A_J112147.1+114419,blue,170.446497,11.738515,394.805,375.337,290.176,,,,10.655,9.603,6.269,3.835,13.555,12.853,12.1,0.050201
HPPSC070A_J033220.0-275721,blue,53.083563,-27.955802,2.476,6.031,,,,,16.602,17.52,12.969,9.389,,,,0.672
HPPSC070A_J074843.8-261447,blue,117.182611,-26.246368,8381.423,,17716.24,7379.6,3465.4,1387.8,9.618,9.245,4.778,2.154,13.343,12.331,11.668,0.00884
HPPSC070A_J220041.2+103307,blue,330.171779,10.552059,5305.511,7008.37,5836.302,,,,9.954,9.105,5.705,3.205,13.267,12.387,11.786,0.026612
HPPSC070A_J130239.4+050609,blue,195.66423,5.102377,20.649,,103.724,,,,,,,,,,,0.04863
HPPSC070A_J053802.3-015543,blue,84.50991,-1.928665,395.27,,501.538,236.8,,,13.154,12.475,8.771,6.272,15.923,14.844,13.992,0.101473
HPPSC070A_J070941.9-110751,blue,107.424787,-11.13096,126.476,,393.409,244.1,,,11.417,11.235,9.036,6.991,15.386,12.991,12.443,0.032993
HPPSC070A_J102301.2+473704,blue,155.755333,47.617909,40.714,43.642,61.778,,,,15.467,15.073,11.173,8.986,,,,0.12121
HPPSC070A_J021753.2+143118,blue,34.47165,14.521776,2960.959,3834.358,4210.982,1685.4,597.1,,10.869,10.551,6.747,4.376,14.247,13.169,12.525,0.012876
HPPSC070A_J131609.9+420924,blue,199.041339,42.156663,47.897,68.492,,55.4,,,14.052,13.347,10.058,7.684,16.272,15.753,14.785,0.151276
HPPSC070A_J130227.8-154645,blue,195.615819,-15.779087,35.796,,,,,,14.77,14.571,11.743,9.006,,,,0.016108
HPPSC070A_J223130.5-204626,blue,337.877243,-20.774003,301.413,,480.434,268.8,127.2,,13.738,13.114,8.989,6.614,15.901,15.005,14.444,0.207337
