name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J142400.0+254043,blue,216.000285,25.678622,25.81,,47.756,,,,,,,,,,,,
HPPSC070A_J041033.9+394902,blue,62.641424,39.81725,164.442,,235.27,,,,13.528,13.378,9.388,6.962,15.812,15.002,14.498,,
HPPSC070A_J083140.4+524629,blue,127.918322,52.774648,13.452,,50.626,,,,14.989,14.917,11.498,8.602,,,,,
HPPSC070A_J004824.4+413500,blue,12.101966,41.583219,101.578,232.446,282.541,177.8,78.7,,14.483,14.257,10.703,8.056,16.069,15.155,14.451,,
HPPSC070A_J080030.2-340154,blue,120.125932,-34.031621,360.091,,579.882,,,,12.651,12.477,8.455,5.676,16.134,15.057,14.504,,
HPPSC070A_J094310.7+701538,blue,145.794739,70.260511,119.761,193.648,270.876,,,,13.731,13.469,9.371,7.886,16.069,15.168,14.67,,
HPPSC070A_J152728.4+603819,blue,231.868699,60.638616,24.65,,43.002,,,,16.165,15.93,11.429,8.872,,,,,
HPPSC070A_J054926.8+031638,blue,87.361767,3.277184,119.171,,,165.9,,,11.423,10.418,7.485,5.058,15.472,14.345,13.175,,
HPPSC070A_J140509.7+534413,blue,211.29054,53.73691,122.533,161.823,136.812,91.1,,,15.436,14.986,10.854,7.892,,,,,
HPPSC070A_J075641.5-320810,blue,119.173143,-32.136019,607.056,,1127.477,456.8,169.5,,12.132,11.892,7.655,5.666,15.289,14.386,13.689,,
HPPSC070A_J082647.2+214903,blue,126.69704,21.817437,34.845,,,,,,14.971,14.54,10.607,8.833,16.758,15.998,15.533,,
HPPSC070A_J061908.4+124231,blue,94.785306,12.708662,259.444,,597.338,342.6,155.3,,13.085,12.824,8.895,6.746,16.179,15.168,14.506,,
HPPSC070A_J094803.8-563409,blue,147.016211,-56.569265,280.398,,459.577,,,,,,,,15.779,14.503,13.724,,
HPPSC070A_J094608.9+030422,blue,146.537429,3.072791,62.605,102.86,,88,45.5,,14.704,14.252,10.941,8.256,16.672,15.986,15.426,,
HPPSC070A_J045350.9+442450,blue,73.46243,44.413767,143.353,,392.014,239.6,,,,,,,,,,,
HPPSC070A_J061918.2+131836,blue,94.826109,13.309949,244.74,,570.234,300.8,,,13.603,13.225,9.248,7.251,16.595,15.251,14.513,,
HPPSC070A_J203324.1+600507,blue,308.350651,60.085416,55.766,,197.405,137.1,,,13.812,13.682,10.097,8,16.235,15.505,14.453,,
HPPSC070A_J084930.8+445253,blue,132.378725,44.881298,14.741,,43.904,,,,16.015,15.364,11.785,8.976,,,,,
HPPSC070A_J090045.9+205648,blue,135.191257,20.946694,32.735,,,,,,16.543,16.822,12.605,8.777,,,,,
HPPSC070A_J153455.0+232805,blue,233.729385,23.468037,19.311,,47.89,,,,15.926,15.423,11.725,8.735,,,,,
HPPSC070A_J120620.0-785607,blue,181.583659,-78.935255,293.608,,555.891,315.8,136.1,,13.176,12.896,8.632,6.98,15.573,14.612,14.206,,
HPPSC070A_J013430.6+301030,blue,23.627523,30.174874,29.005,,65.05,68.5,,,,,,,,,,,
HPPSC070A_J235045.7+621053,blue,357.690617,62.181266,430.314,,757.654,,,,12.706,12.497,8.621,6.225,15.461,14.544,13.867,,
HPPSC070A_J122929.9-721944,blue,187.374698,-72.32885,456.336,,748.541,352.2,194.5,95.2,12.614,12.48,8.368,5.944,15.263,14.345,14.158,,
HPPSC070A_J165235.7+353600,blue,253.149045,35.599917,23.974,,,,,,,,,,,,,,
HPPSC070A_J230459.8+622506,blue,346.249512,62.418472,103.047,,,,,,,,,,,,,,
HPPSC070A_J152746.9+065328,blue,231.945589,6.891161,9.507,15.047,25.902,,,,15.984,15.658,12.332,9.347,,,,,
HPPSC070A_J115657.4-795423,blue,179.239275,-79.906372,355.026,,683.007,329.4,128.1,47.5,13.103,12.738,8.46,6.587,15.717,14.569,13.972,,
HPPSC070A_J054653.2+002210,blue,86.721892,0.369561,211.99,,,,,,14.021,13.281,10.425,8.26,17.454,15.835,14.868,,
HPPSC070A_J123416.1+081406,blue,188.567242,8.2349,36.091,,,,,,15.698,16.469,11.44,8.294,,,,,
HPPSC070A_J043000.9+501526,blue,67.504073,50.257202,192.618,,450.761,197.1,,,13.217,13.003,9.625,7.18,16.144,15.125,14.329,,
HPPSC070A_J113246.6+525628,blue,173.194463,52.941075,142.915,,565.815,324.4,169.5,,12.334,12.359,9.265,7.227,14.394,14.286,13.081,,
HPPSC070A_J053340.2-073219,blue,83.417564,-7.53851,262.341,,571.653,284.5,,,12.85,12.586,8.684,6.896,15.217,14.589,14.091,,
HPPSC070A_J122655.0+215145,blue,186.729353,21.862396,18.008,29.888,,,,,16.75,17.167,12.015,8.358,,,,,
HPPSC070A_J164706.3-145145,blue,251.776465,-14.862509,449.21,,581.543,243.8,,,13.025,12.68,8.657,5.883,15.556,14.625,14.034,,
HPPSC070A_J072307.9-175529,blue,110.783133,-17.924675,304.257,,529.976,279.5,,,13.069,12.781,8.742,6.317,16.109,14.976,14.296,,
HPPSC070A_J134331.5+415501,blue,205.881628,41.916906,5.718,4.971,,,,,16.055,15.893,12.741,9.564,,,,,
HPPSC070A_J053243.5+325346,blue,83.181627,32.896246,158.718,,498.338,215.4,,,13.212,13.006,9.049,7.094,16.09,15.307,14.717,,
HPPSC070A_J043822.6+474655,blue,69.594527,47.78187,177.406,,806.806,503.1,287.5,,12.366,12.327,9.084,6.69,15.975,14.789,14.111,,
HPPSC070A_J080841.8-333237,blue,122.174342,-33.543656,151.756,,313.529,155.9,,,,,,,15.392,14.479,13.835,,
HPPSC070A_J055722.1+264326,blue,89.342287,26.723904,190.853,,306.512,196.8,,,13.398,12.85,9.044,6.741,16.142,15.055,14.511,,
HPPSC070A_J081744.7+292047,blue,124.436249,29.346427,14.408,,,,,,16.183,15.724,11.191,8.746,,,,,
HPPSC070A_J004505.9+422819,blue,11.274777,42.471982,179.135,290.718,350.97,183.8,,,14.144,13.894,9.968,8.232,15.926,14.369,14.026,,
HPPSC070A_J115139.8-022053,blue,177.916131,-2.34796,27.75,32.348,,,,,15.963,15.436,11.473,8.854,,,,,
