name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J133815.8+043234,blue,204.566141,4.542861,263.064,,336.365,153.5,72,,9.203,8.374,6.356,4.462,13.064,12.375,11.8,0,0
HPPSC070A_J070626.8-092509,blue,106.611924,-9.419155,108.722,,157.3,,,,11.724,10.777,7.923,5.54,15.27,14.168,13.124,0.188,0
HPPSC070A_J005333.3+563916,blue,13.3891,56.65433,2938.389,3447.84,,,,,10.406,8.501,4.842,2.443,15.971,14.718,13.238,1.144,1.671
HPPSC070A_J011935.5-102614,blue,19.897966,-10.437163,61.422,62.317,65.386,,,,13.804,13.095,9.477,6.502,15.968,15.259,14.66,1.91,1.459
HPPSC070A_J061602.3+134531,blue,94.009739,13.758475,1884.98,,2488.329,,,,9.721,8.169,6.04,3.576,15.381,13.863,12.023,0.616,0.753
HPPSC070A_J201528.7+371101,blue,303.86992,37.183536,196.694,,443.782,,,,12.052,10.941,8.432,5.926,,,,4.971,1.547
HPPSC070A_J135317.7+332926,blue,208.324089,33.490629,1142.307,1223.295,1028.842,546.7,285.6,,10.138,9.085,5.257,2.544,12.809,12.145,11.572,0.623,0.346
HPPSC070A_J085758.0-424631,blue,134.491787,-42.775308,153.798,,618.271,,,,11.272,9.942,7.331,4.859,16.91,15.55,13.994,0.518,0.518
HPPSC070A_J052450.9+343057,blue,81.212405,34.515949,275.253,,943.429,,,,10.951,9.811,7.272,4.567,14.855,13.519,12.757,0.752,0.341
HPPSC070A_J002244.1+142914,blue,5.683911,14.487191,12.192,20.336,,,,,16.925,16.817,12.05,8.479,,,,2.616,4.95
HPPSC070A_J140501.5+543057,blue,211.256535,54.5159,28.036,41.905,,,,,14.001,12.86,9.995,7.783,,,,4.932,1.069
HPPSC070A_J224017.1+080313,blue,340.071474,8.05362,914.906,,846.486,369.2,158.3,,10.135,9.446,6.414,3.785,12.971,12.238,11.547,1.189,0.003
HPPSC070A_J171400.2+524232,blue,258.501046,52.708755,20.834,,59.623,61.8,39.3,,17.849,16.261,10.269,7.351,,,,2.539,3.093
HPPSC070A_J112046.7+134021,blue,170.194655,13.672511,12.808,23.581,28.08,,,,15.95,15.356,11.465,8.558,,,,3.023,4.975
HPPSC070A_J072214.7-254040,blue,110.561487,-25.677793,32.244,,99.347,,,,12.672,11.887,9.077,6.742,16.04,15.182,14.365,0.408,0.002
HPPSC070A_J125019.2+411108,blue,192.580331,41.185486,23.214,20.09,,,,,14.772,13.364,10.207,7.671,,,,1.646,0.95
HPPSC070A_J095134.6+691401,blue,147.894545,69.23373,17.299,,,36.4,,,15.316,14.8,11.015,8.637,,,,2.941,4.163
HPPSC070A_J060726.6-050828,blue,91.860845,-5.141106,347.198,,,,,,11.961,10.39,6.654,4.002,17.184,15.738,13.986,0.623,0.97
HPPSC070A_J032834.5+310051,blue,52.143981,31.014143,3685.167,3333.474,3041.666,,,,10.036,7.746,4.949,1.981,15.001,13.189,12.012,0.722,0.91
HPPSC070A_J054248.8+285653,blue,85.703378,28.948184,7421.258,,12667.586,,,,10.111,9.269,4.636,2.534,15.851,14.126,12.925,1.928,4.975
HPPSC070A_J221619.1+072354,blue,334.079638,7.398403,49.241,,133.577,91.7,,,17.334,15.59,9.908,6.911,,,,2.846,4.376
HPPSC070A_J094250.6+470048,blue,145.711036,47.013368,14.99,26.971,39.831,,,,16.326,15.676,11.827,8.366,,,,3.023,4.975
HPPSC070A_J142357.9+383304,blue,215.991568,38.551125,17.898,,,,,,14.74,13.369,10.111,7.718,,,,1.555,0.758
HPPSC070A_J123620.3+130900,blue,189.084645,13.150124,32.65,40.483,,,,,15.434,14.186,9.864,7.075,,,,2.259,2.125
HPPSC070A_J224759.0+612750,blue,341.995968,61.463873,3718.498,,7069.079,,,,11.123,10.692,5.68,3.814,16.331,15.306,14.535,1.928,4.975
HPPSC070A_J061028.9+164326,blue,92.62074,16.723915,9510.376,,,,,,10.94,10.288,5.02,1.969,15.853,14.706,13.829,1.928,4.991
HPPSC070A_J065854.3-074335,blue,104.726627,-7.726285,199.587,,431.031,,,,12.732,10.816,7.944,4.987,16.64,14.971,14.094,1.144,1.453
HPPSC070A_J040019.2+552702,blue,60.080269,55.450563,195.346,,359.636,205,,,12.864,12.102,8.624,5.892,15.782,14.516,13.577,1.928,2.31
HPPSC070A_J040207.2-050442,blue,60.530218,-5.078225,16.277,28.643,40.612,,,,16.464,15.622,12.123,8.981,,,,4.916,4.975
HPPSC070A_J165941.7+610445,blue,254.923966,61.079256,51.794,,65.844,,,,17.341,15.914,10.723,7.1,,,,2.325,4.605
HPPSC070A_J045522.8+454622,blue,73.845002,45.772845,258.771,,819.433,522.7,,,11.1,10.714,7.6,5.335,14.312,13.227,12.649,4.452,0.31
HPPSC070A_J143923.1-183851,blue,219.846367,-18.64762,26.26,,84.848,,,,18.01,16.087,10.434,7.252,,,,2.846,4.964
HPPSC070A_J115154.8+472626,blue,177.978594,47.440498,24.869,,,,,,17.499,15.975,10.292,7.412,,,,2.257,4.158
HPPSC070A_J053857.3-062928,blue,84.738814,-6.491094,152.332,,,,,,12.183,11.222,8.23,5.701,15.586,14.515,13.493,1.144,0.003
HPPSC070A_J125023.2-783232,blue,192.596677,-78.542198,282.853,,320.462,230.7,,,12.203,10.916,7.954,5.344,15.453,14.313,13.642,1.251,1.453
