name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J074731.3-191740,blue,116.880467,-19.294321,115.379000,142.318000,,,,,12.245000,12.168000,9.982000,7.122000,15.322000,14.609000,12.929000,3.301000,0.000000
HPPSC070A_J093524.0+700729,blue,143.850337,70.124676,183.796000,314.469000,372.139000,229.900000,99.600000,,13.787000,13.380000,9.669000,7.880000,15.884000,15.197000,14.417000,2.071000,4.253000
HPPSC070A_J121432.8+054424,blue,183.636661,5.739943,34.975000,,,,,,15.358000,15.008000,11.775000,8.231000,,,,2.552000,4.975000
HPPSC070A_J094250.6+470048,blue,145.711036,47.013368,14.990000,26.971000,39.831000,,,,16.326000,15.676000,11.827000,8.366000,,,,3.023000,4.975000
HPPSC070A_J152137.2+211054,blue,230.405094,21.181604,186.530000,,495.921000,195.200000,,,12.971000,12.818000,9.095000,7.430000,15.027000,14.320000,13.886000,2.981000,4.950000
HPPSC070A_J050956.7+380011,blue,77.486298,38.003151,227.059000,,509.216000,,,,13.206000,13.014000,9.252000,7.009000,16.075000,14.819000,14.123000,2.071000,4.975000
HPPSC070A_J033038.5+562344,blue,52.660441,56.395535,290.890000,,560.855000,,,,12.583000,12.356000,8.746000,6.708000,15.932000,14.377000,13.673000,2.071000,4.975000
HPPSC070A_J121501.5-010936,blue,183.756312,-1.159933,16.184000,,,,,,16.225000,15.557000,11.063000,8.683000,,,,2.337000,4.858000
HPPSC070A_J123447.5+080540,blue,188.698114,8.094365,25.718000,,76.086000,43.900000,,,16.619000,15.773000,12.054000,8.796000,,,,4.916000,4.950000
HPPSC070A_J114254.5+195640,blue,175.727094,19.944432,17.215000,34.542000,39.790000,,,,15.609000,15.386000,11.553000,8.797000,,,,3.108000,4.975000
HPPSC070A_J230038.3+014036,blue,345.159833,1.676757,38.612000,58.482000,94.588000,,,,14.529000,14.435000,11.608000,8.616000,16.786000,15.968000,14.596000,3.064000,4.975000
HPPSC070A_J142357.9+383304,blue,215.991568,38.551125,17.898000,,,,,,14.740000,13.369000,10.111000,7.718000,,,,1.555000,0.758000
HPPSC070A_J201702.8-212348,blue,304.261818,-21.396720,13.207000,,69.181000,,,,13.990000,13.872000,11.172000,8.909000,16.125000,15.586000,14.998000,4.848000,0.002000
HPPSC070A_J123416.3+020947,blue,188.568261,2.163058,17.440000,,,,,,15.943000,15.683000,11.944000,8.856000,,,,2.479000,4.975000
HPPSC070A_J092832.6+504738,blue,142.136194,50.793964,145.822000,,734.453000,420.900000,204.000000,83.400000,12.382000,12.357000,8.900000,6.831000,15.087000,14.282000,14.093000,4.452000,4.790000
HPPSC070A_J004734.4+424929,blue,11.893527,42.824826,239.123000,321.635000,337.449000,181.500000,77.000000,,13.086000,12.867000,8.939000,6.754000,15.437000,14.759000,14.381000,2.071000,3.290000
